1er nombre;2do nombre;apellido paterno;apellido materno
SHIRLEY;MARIA;SALINAS;RADIC
ADRIANA;MIRJANA;KRELLAC;MEDRANO
KAREN;CAROL;ARIAS;NINA
ROLANDO;;HUARACHI;COLQUE
LETICIA;;GONZALES;BALDELLON
MATEO;JUSTINIANO;VASQUEZ;CRUZ
MARIA;EUGENIA;ZABALAGA;SEJAS
CARMEN;MARIA;MAMANI;BUEZO
CARLO;ALEJANDRO;PEÑA;CHAVEZ
FELIX;DARIO;MOYA;RIVERA
ALFREDO;ALVARO;ZEBALLOS;BOHORQUEZ
GABRIEL;GERARDO;LAFUENTE;BERNAL
JEANNETTE;GLADYS;GOMEZ;VARGAS
ALBERT;ERIC;ALAVE;MURIEL
CRISTINA;;DAMIAN;FLORES
JOSE;ALEJANDRO;RIOJA;BENAVIDEZ
JUAN;CARLOS;SALGUERO;ROJAS
DAGME;SIDETRA;ILLANES;MEAVE
RODRIGO;FREDDY;GARCIA;HURTADO
MARCO;MARCELO;AYALA;HUANCA
JOSE;LUIS;ALI;UYULI
ALVARO;;IGNACIO;GARECA
EDGAR;JORGE;PARDO;ARISPE
JORGE;AMETH;OPORTO;COPA
MARCELO;;JIMENEZ;ROMERO
ALVARO;MARCELO;IBAÑEZ;SANTIESTEVEZ
DANIELA;;CRESPO;ROJAS
NIDIA;JANNETH;PACO;CALLE
CLAUDIA;;ROMERO;SOLIZ
CHRISTIAN;JAVIER;GONZALES;CANAZA
MAYERLI;VALERIA;ALIAGA;QUISPE
 MAGALY;VIRGINIA;CHAVEZ;LOPEZ
MARCELO;IVAN;HEREDIA;HERRERA
GABY;;MAMANI;CHOQUETOPA
CESAR;EDUARDO;SOLIZ;PERALTA
JACKELINE;ROSSE MARY;LIZARAZU;QUISPE
JAVIER;GERMAN;CHOQUE;PEREZ
RUTH;ERIKA;ACEVEDO;HERBAS
DANILO;;ALVAREZ;ARISPE
 CHRISTIAN;RAMIRO;ARCE;VARGAS
NATALY;JANETH;MAMANI;VELASQUEZ
CLAUDIA;RAQUEL;HUANCA;AMAYA
LUIS;;VIDAURRE;LEON
NINETH;CRISTINA;MONTIEL;MURILLO
SONIA;ISMELDA;VILLARROEL;VILLARROEL
MARIA;ROSARIO;BERNAL;TORDOYA
ARIEL;AMILCAR;MENDIETA;ASIER
ANGEL;ARTURO;CABALLERO;FERNANDEZ
JOSE;;SANTOS;GUTIERREZ
ARACELY;CLAUDIA;CONDORI;ARIMOSA
BORIS;MICHAEL;CHOQUE;POMA
